***not in a method***;2;1;0
PDFont.PDFont( );2;1;8
PDFont.PDFont( COSDictionary fontDictionary );1;1;7
PDFont.PDFont( String baseFont );5;2;12
PDFont.encode( String text );6;2;12
PDFont.equals( Object other );5;2;3
PDFont.getAverageFontWidth( );12;6;35
PDFont.getCOSObject( );2;1;3
PDFont.getDisplacement( int code );4;1;3
PDFont.getFontDescriptor( );2;1;3
PDFont.getFontMatrix( );2;1;3
PDFont.getPositionVector( int code );2;1;3
PDFont.getSpaceWidth( );13;8;35
PDFont.getStandard14AFM( );2;1;3
PDFont.getStringWidth( String text );6;2;11
PDFont.getSubType( );3;1;3
PDFont.getToUnicodeCMap( );2;1;3
PDFont.getType( );3;1;3
PDFont.getWidth( int code );21;11;40
PDFont.getWidths( );6;3;15
PDFont.hashCode( );2;1;3
PDFont.isStandard14( );2;2;7
PDFont.loadFontDescriptor( );9;3;15
PDFont.loadUnicodeCmap( );16;11;32
PDFont.readCMap( COSBase base );5;3;24
PDFont.setFontDescriptor( PDFontDescriptor fontDescriptor );2;1;3
PDFont.toString( );4;1;3
PDFont.toUnicode( int code );14;6;17
PDFont.toUnicode( int code , GlyphList customGlyphList );4;1;3
